#openTime	openPrice	closePrice	volume
1285865017000	131.24	131.76	2000
1285892074000	1.3399	1.3421	2000
1286157381000	115.3	114.96	2000
1286165768000	1.0185	1.0242	2000
1286182803000	1.5787	1.5909	1000
1286246207000	1.3644	1.3676	2000
1286249975000	0.9576	0.9597	2000
1286256220000	83.79	83.03	2000
1286256297000	0.9565	0.9605	2000
1286269205000	132.56	130.9	1000
1286269207000	1.5896	1.5909	1000
1286287300000	114.99	115.01	2000
1286289503000	0.9695	0.9744	2000
1286289814000	1.3838	1.3871	2000
1286290336000	1.5925	1.5906	2000
1286322792000	0.9725	0.9746	2000
1286322826000	1.3859	1.3874	2000
1286373709000	0.9763	0.9756	2000
1286373762000	1.3884	1.3915	2000
1286377549000	1.5309	1.52	2000
1286398805000	131.81	130.82	1000
1286399833000	1.3939	1.3917	2000
1286399846000	115.6	114.59	2000
1286411405000	0.9791	0.9836	2000
1286411451000	81.55	81	2000
1286413207000	81.62	81.62	10000
1286433270000	1.3945	1.3928	2000
1286436489000	0.9888	0.9844	2000
1286456402000	1.3474	1.3428	2000
1286460153000	1.5368	1.535	2000
1286460628000	1.5372	1.5351	8000
1286464678000	1.5435	1.5116	10000
1286926963000	0.9878	0.9958	1000
1286926963000	0.9878	0.9938	1000
1286929197000	1.394	1.3931	1000
1286929197000	1.394	1.405	1000
1286932641000	114.35	113.94	1000
1286932641000	114.35	114.46	1000
1286954199000	1.3379	1.3379	2000
1287011702000	130.36	130.26	2000
1287039603000	1.603	1.5982	2000
1287082927000	0.9904	0.993	2000
1287152573000	0.9873	0.991	2000
1287152598000	1.6006	1.5923	1000
1287152598000	1.6006	1.5937	1000
1287152625000	1.3997	1.388	1000
1287152625000	1.3997	1.395	1000
1287172530000	130.11	129.42	1000
1287172530000	130.11	129.66	1000
1287428332000	0.9935	0.989	2000
1287428702000	129.49	129	2000
1287436056000	128.95	129.16	2000
1287440707000	1.393	1.3955	2000
1287446587000	113.45	113.26	2000
1287446600000	80.61	80.27	2000
1287446785000	1.3979	1.3919	2000
1287461711000	1.3923	1.3818	2000
1287461728000	1.5883	1.5722	1000
1287461728000	1.5883	1.572	1000
1287466407000	0.9853	0.9752	1000
1287466407000	0.9853	0.9748	1000
1287528966000	128.07	127.98	1000
1287528982000	79.2	79.4	2000
1287530510000	1.5686	1.5721	1000
1287532012000	1.3712	1.3769	2000
1287575828000	0.9795	0.9828	2000
1287588827000	128.6	128.44	2000
1287599652000	1.3979	1.3878	2000
1287648070000	1.398	1.3995	2000
1287649363000	0.988	0.985	2000
1287671029000	0.9882	0.983	2000
1287671061000	1.4023	1.3973	2000
1287680468000	0.9795	0.983	2000
1287686359000	1.3925	1.3945	2000
1287691036000	1.5699	1.5722	2000
1287705999000	112.89	113.24	2000
1287706865000	127.38	127.66	2000
1287723667000	127.78	127.3	2000
1287724873000	0.9839	0.978	2000
1287728705000	1.5747	1.5675	2000
1287757600000	1.3581	1.3588	2000
1287968833000	80.46	80.3	2000
1287970815000	1.4016	1.4055	2000
1287970832000	0.9909	0.9958	1000
1287970832000	0.9909	0.997	1000
1287980445000	113.81	113.46	2000
1287990506000	1.5773	1.5745	1000
1288019821000	1.3965	1.3946	2000
